pris,pris_kvm,prisant,verditakst,BOAProm,energi,boligtype,vest,dummyGrünneløkkaSagene,dummyFrogner,dummySt.Hanshaugen,dummyGamleOslo,solgt,byggeår,alder
7400000,57364,6500000,6500000,129,B,Enebolig,0,0,0,0,0,2014,2011,3
7350000,34346,6000000,6000000,214,F,Enebolig,0,0,0,0,0,2014,1967,47
7350000,41525,7580000,8200000,177,F,Enebolig,0,0,0,0,0,2014,1981,33
7350000,86471,5800000,5800000,85,E,Leilighet,0,0,0,1,0,2014,2006,8
7300000,42442,6800000,6800000,172,G,Rekkehus,0,0,0,0,0,2014,1966,48
7300000,50000,7500000,7500000,146,C,Enebolig,0,0,0,0,0,2014,2009,5
7300000,54478,6790000,6800000,134,C,Tomannsbolig,0,0,0,0,0,2014,2011,3
7275000,34976,7700000,8250000,208,E,Enebolig,0,0,0,0,0,2014,1987,27
7275000,50172,7300000,7300000,145,D,Enebolig,0,0,0,0,0,2014,2005,9
7250000,43675,6900000,6900000,166,G,Enebolig,0,0,0,0,0,2014,1957,57
7250000,55769,6700000,6700000,130,E,Rekkehus,0,1,0,0,0,2014,1987,27
7250000,42398,7600000,7600000,171,C,Enebolig,0,0,0,0,0,2014,2013,1
7200000,64865,5700000,5700000,111,G,Leilighet,0,0,0,1,0,2014,1940,74
7150000,29545,5900000,5900000,242,F,Enebolig,0,0,0,0,0,2014,1984,30
7100000,54615,6500000,6500000,130,E,Rekkehus,0,0,0,0,0,2014,1992,22
7100000,24068,6500000,6500000,295,E,Enebolig,0,0,0,0,0,2014,1995,19
7100000,39011,16970000,7450000,182,C,Enebolig,0,0,0,0,0,2014,2011,3
7050000,47959,7300000,7300000,147,G,Rekkehus,0,0,0,0,0,2014,1965,49
7000000,60435,7100000,7100000,116,F,Leilighet,0,0,1,0,0,2014,1891,123
7000000,42169,6500000,6500000,166,G,Enebolig,0,0,0,0,0,2014,1923,91
7000000,65421,5700000,5700000,107,G,Leilighet,0,0,0,0,0,2014,1925,89
7000000,38889,6890000,6900000,180,G,Enebolig,0,0,0,0,0,2014,1948,66
7000000,28000,7300000,7300000,250,G,Tomannsbolig,0,0,0,0,0,2014,1951,63
7000000,45455,5950000,6000000,154,F,Tomannsbolig,0,1,0,0,0,2014,1972,42
7000000,33981,7000000,7000000,206,G,Enebolig,0,0,0,0,0,2014,1977,37
6950000,53462,6800000,6800000,130,D,Rekkehus,0,0,0,0,0,2014,2006,8
6900000,52560,6390000,6500000,132,G,Leilighet,0,0,0,1,0,2014,1921,93
6900000,31364,6490000,8050000,220,F,Enebolig,0,0,0,0,0,2014,1984,30
6900000,31944,6350000,6350000,216,F,Enebolig,0,0,0,0,0,2014,1988,26
6900000,44516,7000000,7900000,155,D,Rekkehus,0,0,0,0,0,2014,2007,7
6890000,34798,6950000,7500000,198,F,Tomannsbolig,0,0,0,0,0,2014,1973,41
6875000,42969,6500000,6500000,160,G,Leilighet,0,0,1,0,0,2014,1895,119
6850000,54800,6600000,6600000,125,F,Leilighet,0,0,1,0,0,2014,1890,124
6850000,39143,6500000,6500000,175,G,Rekkehus,0,0,0,0,0,2014,1979,35
6850000,72105,6790000,7000000,95,E,Leilighet,0,0,1,0,0,2014,2004,10
6815000,56792,5790000,6000000,120,E,Leilighet,0,0,0,0,0,2014,2007,7
6800000,43871,6800000,6800000,155,G,Leilighet,0,0,0,0,0,2014,1900,114
6800000,83968,6500000,6500000,81,C,Leilighet,0,0,0,1,0,2014,1937,77
6800000,66019,5900000,5900000,103,F,Enebolig,0,0,0,0,0,2014,1950,64
6800000,36559,6700000,6700000,186,G,Enebolig,0,0,0,0,0,2014,1963,51
6800000,45033,6900000,6900000,151,F,Rekkehus,0,0,0,0,0,2014,1982,32
6800000,48571,6890000,7000000,140,D,Rekkehus,0,0,0,0,0,2014,2006,8
6750000,36290,6650000,6700000,186,G,Tomannsbolig,0,0,0,0,0,2014,1924,90
6750000,47203,6700000,6700000,143,G,Leilighet,0,0,0,0,0,2014,1929,85
6750000,25763,6990000,7000000,262,F,Tomannsbolig,0,0,0,0,0,2014,1957,57
6700000,74444,5900000,5900000,90,G,Enebolig,0,1,0,0,0,2014,1900,114
6700000,50376,6750000,6750000,133,G,Enebolig,0,0,0,0,0,2014,1920,94
6700000,39645,6100000,6100000,169,F,Enebolig,0,0,0,0,0,2014,1972,42
6700000,57265,5650000,5650000,117,E,Enebolig,0,0,0,0,0,2014,1994,20
6690000,38448,6690000,6700000,174,G,Enebolig,0,0,0,0,0,2014,1922,92
